normalized_title,count
other,25386
software_engineer,17290
account_executive,3269
sales_representative,3174
operations_specialist,2636
marketing_specialist,2362
technician,2258
product_manager,2027
account_manager,1887
project_manager,1443
data_analyst,1130
accountant,1123
consultant,917
customer_success_manager,896
engineering_manager,887
business_development_representative,882
product_designer,881
legal_counsel,833
nurse_practitioner,811
data_engineer,731
data_scientist,692
solutions_architect,667
technical_recruiter,600
analytics_manager,539
backend_engineer,480
ml_engineer,462
driver,457
psychotherapist,430
fullstack_engineer,402
psychiatrist,399
site_reliability_engineer,385
financial_analyst,371
devops_engineer,348
analytics_engineer,335
business_analyst,291
store_associate,271
mechanic,239
it_support_specialist,237
customer_service_specialist,214
teacher,201
registered_nurse,185
delivery_driver,181
alliance_manager,165
frontend_engineer,158
healthcare_provider,155
hr_business_partner,154
analytics_director,151
mental_health_specialist,145
executive_assistant,130
health_information_specialist,121
field_technician,118
content_designer,115
substitute_teacher,106
auto_painter,90
medical_assistant,86
systems_administrator,84
assistant_teacher,84
investment_analyst,71
car_detailer,69
occupational_therapist,68
chief_of_staff,64
general_application,58
seo_specialist,57
implementation_consultant,56
corporate_development,53
administrative_assistant,51
landscape_technician,49
ml_scientist,40
business_intelligence_analyst,40
hr_generalist,34
chief_technology_officer,30
enterprise_architect,26
chief_revenue_officer,15
office_administrator,12
business_intelligence_engineer,12
hr_manager,11
technical_program_manager,9
industry_lead,9
operations_analyst,2
localization_intern,2
implementation_coordinator,1
program_analyst,1
